skip_rate,trades,wins,win_rate,total_pnl,pnl_per_trade,final_portfolio,max_drawdown
0.2,168,157,0.9345,-983.6,-5.85,9016.4,0.1839
0.21,167,155,0.9281,-1945.9,-11.65,8054.1,0.2353
0.22,166,154,0.9277,-2168.2,-13.06,7831.8,0.2506
0.23,165,154,0.9333,-1190.5,-7.22,8809.5,0.1762
0.24,164,153,0.9329,-1255.3,-7.65,8744.7,0.18
0.25,164,153,0.9329,-1120.3,-6.83,8879.7,0.1759
0.26,163,152,0.9325,-1140.1,-6.99,8859.9,0.1759
0.27,163,152,0.9325,-1092.6,-6.7,8907.4,0.1785
0.28,162,151,0.9321,-1104.9,-6.82,8895.1,0.1818
0.29,162,151,0.9321,-1642.4,-10.14,8357.6,0.2174
0.3,162,150,0.9259,-2564.9,-15.83,7435.1,0.3116
0.31,160,148,0.925,-2502.0,-15.64,7498.0,0.3102
0.32,157,146,0.9299,-2268.9,-14.45,7731.1,0.2867
0.33,153,143,0.9346,-1648.1,-10.77,8351.9,0.2213
0.34,153,144,0.9412,-508.1,-3.32,9491.9,0.1531
0.35,152,143,0.9408,-600.4,-3.95,9399.6,0.1538
0.36,150,140,0.9333,-1657.5,-11.05,8342.5,0.2408
0.37,149,139,0.9329,-1647.3,-11.06,8352.7,0.2427
0.38,148,138,0.9324,-1902.1,-12.85,8097.9,0.262
0.39,148,138,0.9324,-1919.6,-12.97,8080.4,0.262
0.4,148,138,0.9324,-1949.6,-13.17,8050.4,0.2714
