Strategy,N,Avg_Credit,TP10_WinRate,TP10_tp,TP10_sl,TP10_close_win,TP10_close_loss,TP25_WinRate,TP25_tp,TP25_sl,TP25_close_win,TP25_close_loss,TP50_WinRate,TP50_tp,TP50_sl,TP50_close_win,TP50_close_loss,TP10_EV,TP25_EV,TP50_EV,TP10_MedianTime_min,TP25_MedianTime_min,TP50_MedianTime_min
IC_05d_25w,239375,0.73,92.0,91.6,6.8,0.4,1.2,83.8,81.6,14.2,2.2,2.0,73.8,65.8,23.3,8.0,2.9,0.03,0.03,0.04,9,27,68
IC_10d_25w,244247,1.69,91.0,90.1,7.6,0.9,1.4,82.1,78.8,15.6,3.3,2.3,71.2,60.8,25.2,10.3,3.6,0.03,0.04,0.05,12,33,79
IC_15d_25w,245224,2.79,90.5,89.4,7.8,1.1,1.7,81.1,77.0,16.0,4.1,2.9,69.8,56.9,25.1,12.9,5.1,0.04,0.05,0.04,14,40,93
IC_20d_25w,245527,4.0,90.2,88.8,7.7,1.4,2.1,80.2,75.0,15.8,5.1,4.0,68.7,52.7,24.0,16.0,7.3,0.06,0.07,0.05,17,48,108
IC_25d_25w,245702,5.33,89.6,87.9,7.6,1.8,2.8,78.9,72.6,15.2,6.3,5.9,67.6,47.3,21.8,20.3,10.7,0.07,0.07,0.07,21,57,125
IC_30d_25w,245759,6.77,88.8,86.7,7.1,2.1,4.1,77.2,69.3,13.8,7.9,9.0,66.0,40.4,18.5,25.6,15.5,0.07,0.08,0.08,26,69,144
IC_35d_25w,245783,8.32,87.6,84.8,6.0,2.7,6.5,74.6,64.2,11.1,10.4,14.3,64.3,32.0,13.7,32.3,22.0,0.07,0.06,0.08,32,83,165
IC_40d_25w,244935,10.01,85.5,82.2,4.0,3.2,10.6,71.1,57.7,7.0,13.4,22.0,62.3,22.3,8.1,40.0,29.5,0.09,0.07,0.11,39,100,190
IC_45d_25w,216774,12.12,82.4,78.9,2.3,3.5,15.4,66.8,50.8,3.7,16.0,29.5,60.0,13.4,4.1,46.6,35.9,0.07,0.06,0.1,51,122,220
IC_50d_25w,218,12.14,79.8,72.5,0.9,7.3,19.3,53.7,31.2,1.4,22.5,45.0,50.0,4.6,1.8,45.4,48.2,0.05,-1.49,-1.49,64,114,230
